Time: 1638891477.726116. Hostname: gpu05. MPI rank: 1. Process ID: 152857. 
Time: 1638891756.257569. Hostname: gpu01. MPI rank: 0. Process ID: 55687. 
numElements=6200, AvgDtime=0.000056, Min=0.000033, Max=0.000056, Perc95=0.000040, Variance=-0.000019, StdDev=0.004354, ElementsSec=154789790.476190, GBytesSec=1.153274
numElements=6300, AvgDtime=0.000044, Min=0.000033, Max=0.000055, Perc95=0.000039, Variance=-0.000007, StdDev=0.002679, ElementsSec=161122653.658537, GBytesSec=1.200457
numElements=6400, AvgDtime=0.000051, Min=0.000033, Max=0.000058, Perc95=0.000040, Variance=-0.000014, StdDev=0.003744, ElementsSec=159783009.523810, GBytesSec=1.190476
numElements=6500, AvgDtime=0.000053, Min=0.000034, Max=0.000059, Perc95=0.000040, Variance=-0.000016, StdDev=0.003954, ElementsSec=162279619.047619, GBytesSec=1.209077
numElements=6600, AvgDtime=0.000055, Min=0.000034, Max=0.000062, Perc95=0.000041, Variance=-0.000017, StdDev=0.004069, ElementsSec=160944223.255814, GBytesSec=1.199128
numElements=6700, AvgDtime=0.000044, Min=0.000035, Max=0.000059, Perc95=0.000041, Variance=-0.000006, StdDev=0.002490, ElementsSec=163382772.093023, GBytesSec=1.217297
numElements=6800, AvgDtime=0.000050, Min=0.000035, Max=0.000060, Perc95=0.000041, Variance=-0.000011, StdDev=0.003379, ElementsSec=165821320.930233, GBytesSec=1.235465
numElements=6900, AvgDtime=0.000058, Min=0.000035, Max=0.000059, Perc95=0.000042, Variance=-0.000019, StdDev=0.004307, ElementsSec=164435781.818182, GBytesSec=1.225142
numElements=7000, AvgDtime=0.000147, Min=0.000037, Max=0.000171, Perc95=0.000076, Variance=-0.000082, StdDev=0.009040, ElementsSec=92038018.808777, GBytesSec=0.685737
numElements=7100, AvgDtime=0.000096, Min=0.000062, Max=0.000096, Perc95=0.000077, Variance=-0.000026, StdDev=0.005100, ElementsSec=92196775.232198, GBytesSec=0.686920
numElements=7200, AvgDtime=0.000113, Min=0.000064, Max=0.000116, Perc95=0.000078, Variance=-0.000042, StdDev=0.006481, ElementsSec=92351647.706422, GBytesSec=0.688073
numElements=7300, AvgDtime=0.000110, Min=0.000063, Max=0.000114, Perc95=0.000085, Variance=-0.000039, StdDev=0.006250, ElementsSec=85765880.112045, GBytesSec=0.639006
numElements=7400, AvgDtime=0.000102, Min=0.000062, Max=0.000115, Perc95=0.000077, Variance=-0.000032, StdDev=0.005651, ElementsSec=96092413.622291, GBytesSec=0.715944
numElements=7500, AvgDtime=0.000089, Min=0.000063, Max=0.000090, Perc95=0.000076, Variance=-0.000020, StdDev=0.004446, ElementsSec=98612163.009404, GBytesSec=0.734718
numElements=7600, AvgDtime=0.000108, Min=0.000062, Max=0.000112, Perc95=0.000075, Variance=-0.000039, StdDev=0.006263, ElementsSec=101518185.987261, GBytesSec=0.756369
numElements=7700, AvgDtime=0.000095, Min=0.000059, Max=0.000102, Perc95=0.000070, Variance=-0.000030, StdDev=0.005498, ElementsSec=110225736.518771, GBytesSec=0.821246
numElements=7800, AvgDtime=0.000090, Min=0.000059, Max=0.000104, Perc95=0.000075, Variance=-0.000024, StdDev=0.004918, ElementsSec=104189717.197452, GBytesSec=0.776274
numElements=7900, AvgDtime=0.000085, Min=0.000060, Max=0.000096, Perc95=0.000072, Variance=-0.000020, StdDev=0.004477, ElementsSec=109718548.344371, GBytesSec=0.817467
numElements=8000, AvgDtime=0.000093, Min=0.000061, Max=0.000106, Perc95=0.000070, Variance=-0.000027, StdDev=0.005182, ElementsSec=114130721.088435, GBytesSec=0.850340
numElements=8100, AvgDtime=0.000085, Min=0.000060, Max=0.000097, Perc95=0.000071, Variance=-0.000019, StdDev=0.004346, ElementsSec=114006249.664430, GBytesSec=0.849413
numElements=8200, AvgDtime=0.000087, Min=0.000060, Max=0.000097, Perc95=0.000072, Variance=-0.000020, StdDev=0.004516, ElementsSec=113885075.496689, GBytesSec=0.848510
